,tweet,Subjectivity,Polarity,Analysis
52,Stayed in Pune daysUsed ola  polished my shoesbought streetside fruits ate pan at taparismedicines at chemist shop amp paid thru      all  available at all places     amp Pune has learnt it ,0.4,0.4,Positive
53,If you want Traffic Free city then start using Public Transport Railways Metro BEST are safe cheap on time and always there for you in difficult situations Say Yes to Metro Railway BEST Say No to OLAUBER      ,0.5238095238095238,0.39999999999999997,Positive
54,   Ola amp Uber have surges always ask for cash which isn’t how Meru operates It does on a fixed fare which often is a premium fare So I feel it ticks all the boxes in your checklist apart from the fact if they can work on their spontaneous bookings it’ll be way more scalable,0.5333333333333333,0.39999999999999997,Positive
55, Hi I bought a  hospicash policy on ur app on th Dec Its been  days amp I still hvnt recvd any mailpolicy docs frm ur side Customer care amp helpline is nt working Wts dis a new kind of scam  ,0.6772727272727272,0.36818181818181817,Positive
56,Unlocked a special feature when bought an ola pass    httpstcoUFoapXbrj,0.5714285714285714,0.35714285714285715,Positive
57,  Ola amigos🦄  Hope you guys are enjoying the holidaysSo I am here to give you something which you make your New Year even more special  How about winning a new book at the First…  httpstcoPRqsjce,0.5550865800865801,0.35497835497835495,Positive
58,Vch cab Ola or Uber   She thought of becoming popular by correcting our pm 😂  Bill turns to act after assent of president Go back to school  ,0.5833333333333334,0.35000000000000003,Positive
59,Ola pls stop or olamoney because i facing many problems with after book bike or cab with olamoney or postpaid driver denied to do the service they straight forward said if you made payments options olamoney or postpaid will not to go ,0.45,0.35,Positive
60, sir mm good evening I am uma Shankar Singh n my mobile number is  and second is  Which use to book Ola But you can check my booking two or three times Ola driver cancel my booking and charge come on penalty on my mobile number It is not my fault,0.30000000000000004,0.35,Positive
61,   by when a customer can fully rely upon  as after complaining within Ola app drivers are showing such behavior and if service cant be offered then isnt it a good idea to close business in the city,0.55,0.35,Positive
62,  Here you go  I need full refund for my trip  httpstcoWiGPrJDBO,0.55,0.35,Positive
63,  Its better to use Ola  take a Ola Select subscription and avoid such mental torture No cancellation fee  priority drive and best drivers,0.375,0.35,Positive
64,  this is the number of ur driver    He did not use the app and is now asking for the full amount on return journey,0.55,0.35,Positive
65,Ola  how you doing ♥️ hope you’re having a lovely afternoonare you ready for the weekend😉coz I am The best  songs are  Bad guy  Señorita  Good for you by   hehe ♥️ could you dedicate any of those songs to  ♥️much love🤗,0.5633333333333334,0.33999999999999997,Positive
66,  Hello  Of   by the name of     Where is my money   You gave super flop statements about giving ride voucher but we receive nothing      Till Date ,0.6666666666666666,0.3333333333333333,Positive
67,  A Agent named  was really helpful and helped me out in these situation You really need some people like him Have a Pleasant day Ahead  Please annotate him my thanks as you can check calls regarding this booking  httpstcoirDnYBEM,0.39166666666666666,0.3333333333333333,Positive
68, For CRN why didnt the driver accept  I was highly inconvenienced as Id just landed in the city and wasnt having cash to pay Id to opt Postpaid to pay whereas there was offer ongoing in GPay of  off for rides amounting to  or more,0.52,0.33,Positive
69, I would rather save the money and gift myself a two wheeler instead Wouldnt cost gt Rs on fuel per day up and down Lol,0.49444444444444446,0.32222222222222224,Positive
70, Sir many wouldnt even be knowing about this all new CAB except Ola or Uber,0.4772727272727273,0.3181818181818182,Positive
71,Service standards  Ola even refused to acknowledge the issue Need better media management for sure Not accepting an issue wont work for long,0.5962962962962962,0.31666666666666665,Positive
72,    it is amusing that yesterday i received an email stating that my kyc for ola money is pending and I have to take action  Amusing because it is i who is asking olamoney why my kyc is not complete even after almost a month of homevisit,0.625,0.31249999999999994,Positive
73, That doesnt answer my query You are asking for a higher fare predicting a surge What if the surge never happens You would still end up charging us more right Is that even legal,0.4339285714285714,0.3089285714285714,Positive
74, u have charged me a full amount for a trip which end midway due to a protests in gurgaon Delhi and I had to walk to Udyog Viharis that fair   httpstcoZBXusmi,0.6083333333333334,0.3083333333333333,Positive
75,n I call  and a guy “Saurav” who takes  minutes to get the problem basically wants me to chase this guy around Delhi Fantastic work Ola,0.5,0.30000000000000004,Positive
76, so there something going on with ola autos in Hyd I took the ride n when I went to on app to give ratings it showed ur driver has cancelled the ride when it completed Kindly look into it  N the number was also different this auto took booking with  auto No  httpstcorUERXw,0.75,0.3,Positive
77,So the bus takes same time as cab  Ola Uber  charges  of the cabs charge and is much more comfortable The ride from Whitefield to KIA took  mins ,0.47500000000000003,0.3,Positive
78,  Oh this happens with Ola too amp of course if we are paying by cash or card So i rarely use them,0.9,0.3,Positive
79,  to start direct  buses from each location to office to reduce the  congestion ex  to  will be more profitable in the age of      ,0.45,0.3,Positive
80,   Yeahfor some reason Uber drivers are more professional than that of Ola,0.3,0.3,Positive
81, that ola gives them money after  days of every ride Kindly tell me how is this my fault And how is it related to me choosing cash or card as a payment option,0.65,0.3,Positive
82,   They don’t give a damn bro Uber has been taking customers for granted since ages The drivers are not getting penalised for cancelling trips instead we are levied a cancellation fee Switch to Ola Far better service and driver network,0.75,0.3,Positive
83, refer the ss for the cancellation details which was refused by the auto driver to accepting actual rate determined by the ola app is Rs  he asks me to pay  Kindly look at this and resolve immediately  httpstcoQNvEnsDnI,0.5,0.3,Positive
84,Thank you Ola for your very positive response,0.7090909090909091,0.29545454545454547,Positive
85,    That driver was so confident that nothing will happen to him as he would offer bribe to  and escaped happily  asked us to come down to Miyanpur police station to register complain in night or next morning,0.5305555555555556,0.2861111111111111,Positive
86,Right time to switch to OLA,0.5357142857142857,0.2857142857142857,Positive
87, you have not paid Riyaz driver in Pune ₹ His payment is stuck since  years That’s is why he has stopped driving for  I am travelling with him as a passenger right now Unprofessional to hold payments for the hours he has driven  ,0.5357142857142857,0.2857142857142857,Positive
88,In a true sense the real competition of Uber Ola is ,0.47500000000000003,0.275,Positive
89, HAHHAHAAHHAHA  TRUE 😂 is there something on my face pa siya HAHAHAAH PANUORIN MO YANG THREAD HAHA JUSKO,0.475,0.275,Positive
90, I’ve already done it Provided you with the details needed A quick revert would be appreciated as I’d like to get on with my day without having to go around in circles with you,0.3,0.26666666666666666,Positive
91,Follow traffic rules for better Transportation Do not interrupt new Bus lanes Its not courtesy its a Law Appreciate the new rules       ,0.4696969696969697,0.25757575757575757,Positive
92,  was the most recent experience,0.375,0.25,Positive
93, Sure sir please check screenshots and why receiving multiple times otp after  min  booking time  httpstcorsWbHBu,0.4444444444444444,0.25,Positive
94, With in  min i booked another cab and travelled on same place Most of time driver denied his duty coz we are paying with wallet This is a unprofessional things amp u r charging with us Why  httpstcoifYZhqCg,0.3125,0.25,Positive
95,  Yup Thank god for Uber Only use Ola bec of ola select and pass But out of peak hours Uber rides are better value,0.75,0.25,Positive
96, CRN  This Person called me and first sentence was are you paying cash or Ola Money and then denied  httpstcoQfRKpctA,0.3333333333333333,0.25,Positive
97,   Pl dont be bias rehman chacha ka patthar peaceful hai aur jahan girega vaha bhi piece ful he rahega  Ola uber,0.5,0.25,Positive
98,Exactly difference of zero between the transfer price of ola aina and eden hazard😄😄😄  httpstcoZBuZsZNo,0.25,0.25,Positive
99, Untill I am not getting a proof of toll charges paid I wont be able to pay the same As in prev tweet I already have told you that for my source and destination there is no toll mentioned in the link Thn y I hv been charged,0.375,0.25,Positive
100, Untill I am not getting a proof of toll charges paid I wont be able to pay the same As in prevttweet I already have told you that for my source and destination there is no toll mentioned in the link Thn y I hv been charged,0.375,0.25,Positive
101,  Every time I m charged with a higher fee  httpstcoXOCEaja,0.5,0.25,Positive
102,First they blamed us for using Ola Uber Now they want us to support  😐😐😐    ,0.3333333333333333,0.25,Positive
103,     first tym in my life I feeled racism when my driver said u spilt beer in my cab and his Allah wont accept it However rs covered the all dysfunction done by me U all need to check that,0.3333333333333333,0.25,Positive
104, Nope dont think so Although i have been using exclusively ola for last   months So cant say about latest trend,0.48333333333333334,0.25,Positive
105, Great idea I never liked ola or Uber,0.775,0.25,Positive
106, it doesnt help because until I am getting a proof of toll charges actually paid I wont be able to pay for itI am not asking for a receipt from Ola But I am asking for receipt of toll charges paid,0.3625,0.25,Positive
107, As discussed in telecon untill I am not getting a proof of toll charges paid I wont be able to pay the same As in prev tweet I already have told you that for my source and destination there is no toll mentioned in the link,0.375,0.25,Positive
108, Nop I dont think the issue is resolved as u continue to work with such driversI believe   works much better with customer concernssuch creeps can even end up raping ladies but unsure why ola is saving him just by suspending,0.5,0.25,Positive
109,  Any day service and charges are better with second one,0.25,0.25,Positive
110,The reason is rest of us We treat people basis their social status and job Everywhere  from school admissions to club membership to marriage prospects In fact things are changing because of Swiggy Ola Uber etc Some come from really good backgrounds but need extra ₹,0.2555555555555556,0.24444444444444444,Positive
111,  Fashion Statement Not all veg  vendors or Taxi drivers are poor in money terms They dont even offer fair price Try buying vegetables  some  Vendors are ready to throw on street rather than reducing price Thanks to Uber Ola people r able to ride  Otherwise not for mortals,0.5650000000000001,0.24,Positive
112, is when you discover a shortcut to office that saves you  mins in   thanks to Auto drivers pretty sure Uber or Ola guys would have never found it they struggle with regular routes,0.5414529914529914,0.2375,Positive
113,  please start wheelchair Accessible taxi service in Delhi so that persons with disabilities and senior citizens can also see the city and travel for their routine works No government has helped our community in this regards Kindly direct Uber and Ola to do it,0.3875,0.2375,Positive
114, please start wheelchair Accessible taxi service in Delhi so that persons with disabilities and senior citizens can also see the city and travel for their routine works No government has helped our community in this regards Kindly direct Uber and Ola to do it,0.3875,0.2375,Positive
115, ji please start wheelchair Accessible taxi service in Delhi so that persons with disabilities and senior citizens can also see the city and travel for their routine works No government has helped our community in this regards Kindly direct Uber and Ola to do it,0.3875,0.2375,Positive
116, goes to buy his own island forms own nation passport flag several government departments and all   and here the ME residing this as ME residing in all of that as ME is not able to book   cab without surge pricing     ,0.65625,0.2375,Positive
117,The new Uber and Ola but I don’t use em pickup zone at Delhi T is really cool Book your Uber stand in zone and board your cab in minutes unlike earlier when there was always chaos with only one entry point for all cars Good work  amp  👌🏼😊,0.6409090909090909,0.23727272727272725,Positive
118, Ok thanks again please remove Please remove the penalty imposed so that I can book the next ola,0.2333333333333333,0.2333333333333333,Positive
119,  today have booked two trips  both drivers refused to accept Ola money and fixed to cancel trips This kind of behaviour of your partners is not acceptable and against public service   ,0.3888888888888889,0.2333333333333333,Positive
120, hi team i have charged for incorrect cancellation charges for year back ride which got added in my todays ride Kindly refund in ola wallet PFA invoice looking for immediate action  httpstcobjAdJRgn,0.3333333333333333,0.2333333333333333,Positive
121, Looking good as per Fog looks There may be No Fog will be Sunny with Slight Clouds but As per Met department Snow fallOla is expected Later in evening on st and nd Jan to welcome new year,0.42020202020202024,0.22828282828282828,Positive
122,READY TO DIE BUT NOT READY TO ACCEPT  jo log ye bol rahe hai un se bolo  AND  DOWNLOAD KARE FREE ME AVAILABLE HAI APP STORE AND PLAY STORE PE,0.55,0.225,Positive
123,Ola on this again😂 your blood really dripping hot 🥵 today,0.525,0.225,Positive
124,      Ola have found out new way to make money now driver cancel the trip n Ola charges u rs  many times happened yesterdays was fresh incident strangely u cant call them too now a days,0.4011363636363636,0.22159090909090906,Positive
125,  so apparently thats how sincere ur “SAFETY TEAM” is They dont even bother to take any action against a driver who is driving a car woth faulty breaks Gr job👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,0.31666666666666665,0.21666666666666667,Positive
126, File a complaint and they shall return the amount     I am also facing the issue since long where Ola drivers are asking   Where to go  Mode of payment  and then said Ok and never come Although penalty deducted from our side  Try  they are going good,0.42500000000000004,0.2125,Positive
127,Missed my first ever flight All thanks to  screwing up my booking at the last moment Because Ola and Uber are not reliable I booked a special cab one day in advance Now even those are not reliable What exactly can one do now,0.28428571428571425,0.21142857142857144,Positive
128,    Yes gvt should think of providing a app based cab and auto services pan India It will help drivers to earn good amount for their hard work Mediator like ola uber on an avg take  of the ride amount Gvt should think   ,0.5708333333333333,0.20416666666666664,Positive
129,Who ever is the founder on     pls upgraded the system  my money is Ok for charity or free of cost we all work Hard for it,0.6138888888888889,0.2027777777777778,Positive
130, I had booked ola yesterday driver was at  minute distance and kept saying coming and cancelled it by coming near Wasted my time by this unethical behaviour Kindly ban such drivers  CRN   Kindly take strict action,0.46666666666666673,0.20000000000000004,Positive
131, Really My patience is appreciated How much longer do you need just to resolve this issue,0.16666666666666666,0.20000000000000004,Positive
132,I have spent more time waiting for my cab than in the flight from Bangalore All thanks to      ,0.26666666666666666,0.20000000000000004,Positive
133, Thanks sharing Ride details for your reference Looking forward to get some satisfactory results  httpstcoWguQvYSo,0.2,0.2,Positive
134,    trying to book cabs from last  mins after the booking is getting confirmed the drivers are denying the ride,0.5333333333333333,0.2,Positive
135, I dont driveso i dont buy cars and use Ola amp Uber I am that fking cause of economic downturn in the country  for you,0.2,0.2,Positive
136, today again your cabbie refusing for drop off location and neither ready to cancel the ride  httpstcohGBDQoebP,0.5,0.2,Positive
137, Thanks,0.2,0.2,Positive
138,Hi  driver kept getting these pop ads It minimises the navigation often and he was really disturbed in driving to keep closing it He said it’s coming from inside the Ola partner app  This can real distraction for drivers Can you look into pls  httpstcowyzWTAoEq,0.25,0.2,Positive
139, Thanks,0.2,0.2,Positive
140,Its really a refresh thing to be here at Blore once you are living in the gloomy amp polluted weather of Delhi NCR    But OlaUber drivers compensates the feeling Dont really understand their curiosity to know drop location even before  the confirmation is notified,0.2,0.2,Positive
141,       Who is responsible for olas intentional default to customer,0.55,0.2,Positive
142, What action will you take  May I know  As Drivers are not afraid of you and keep abusing Ola people always,0.5,0.2,Positive
143, get real ola you show  rs during booking an auto and charge  after ride completion,0.30000000000000004,0.2,Positive
144,  OLA on purpose wants drivers to cancel amp chase away customersdoes it want to shut shop in Indianot clearmy exp day OSN   Driver calls me asks my destgoes ahead amp cancells,0.1,0.2,Positive
145, Been Wanting to have this for years now haha,0.3,0.2,Positive
146, Thanks,0.2,0.2,Positive
147, What nonsense Do really understand what is the problem with me This is the type you treat your customers ,0.2,0.2,Positive
148,        Thanks a lot,0.2,0.2,Positive
149,  SirMadam my ola account is permanently blocked without any intimation simply saying  I have not followed ola terms  No customer care is picking phone I travelled yesterday but didnt get invoice I need my invoice only Kindly look amp send my invoice copy,0.7523809523809524,0.19999999999999998,Positive
150, hi team i have book ola round trip from pune to mumbai toll taxes are included in fare or its excluded kindly confirm ASAP looking for ride,0.65,0.19999999999999998,Positive
151,True  however This is a problem everywhere with   their driver doesnt accept the digital payment dont come on time and top of that if you cancel a ride due to the driver issue you are charged by  ,0.38125,0.18125,Positive
152, We knw him more thn Washington Post n he is much more civilized for radical islamic force in the worldCoz thy need more worst treatment than this Thes Islamist breaks the state property burns locals vehcle shouting olahiuber n hails pakistan in India for murdering hindus thr,0.6799999999999999,0.18,Positive
153, My friend has left her phone in one of your cabs Pleas guide how to reach the driver It’s very urgent Hoping for a quick response,0.26666666666666666,0.17777777777777778,Positive
154,Mornings when I have to leave my car at home and take an Ola to office Thanks  You finally made me install  app on my phone after  years No value for loyal customers  httpstcoSnQYVaiYIQ,0.6777777777777777,0.17777777777777778,Positive
155, Poor funnel conversion and high barrier plagued the CC landscape Now with Amazon Flipkart OLA Paytm CC  they’ll focus on data better conversions experiences right rewards  M new CC in no time   Also excited for UPI getting rid of PIN for micro tx  httpstcowPBrZDIcV,0.5633766233766234,0.17617965367965369,Positive
156, Its not a feedback Its a complaint requires appropriate action There is a huge difference,0.425,0.17500000000000004,Positive
157,  Accha or olauber Main to flight khud  nhi milti ,0.3333333333333333,0.16666666666666666,Positive
158, Violence appears more in media than on ground I have travelled from Ranchi Jharkhand to Kolkata in last two days by Road amp Rail and by UBER and Ola cabs in last two days but didnt find or see Violence anywhere,0.2111111111111111,0.16666666666666666,Positive
159, As notified earlier Untill I am not getting a proof of toll charges paid I wont be able to pay the same As in prev tweet I already have told you that for my source and destination there is no toll mentioned in the link,0.4166666666666667,0.16666666666666666,Positive
160, As notified earlier Untill I am not getting a proof of toll charges paid I wont be able to pay the same As in prev tweet I already have told you that for my source and destination there is no toll mentioned in the link,0.4166666666666667,0.16666666666666666,Positive
161, ola executive has booked this trip at Rs  but after completion of trip ola charged Rs  We have booked another cab on Uber App for same route at Rs  even they have forgotten the way and taken more time compare to us but uber has charged same amount  httpstcoJxodqrwk,0.25,0.16666666666666666,Positive
162, Last week I was there n to my horror none was interested in wearing it alike  Spoke to Ola amp uber wala they said Police isnt interested in its Job,0.35555555555555557,0.16666666666666666,Positive
163, I thought its mulla thing to wear familiar dress and stab or behead them shouting uber or ola  Hindus do that now  Unthinkable  My ppl must not sway from peace,0.65,0.1625,Positive
164, Could you disclose how many Tamilnadu Employeescaptains are behaves rudely to your customers Mention Here For Transparency  Truth You cant do because you are corporate Your motive is only earning not worry about Passengers welfare  Kindly learn from   etc,0.6,0.16,Positive
165, jealous what has this pappu and his father got in him They dont have action plans to increase jobs Since they came they ate jobs of cab drivers   for sake of PSVA badge They have earned there whole life because of corruption in MCGM in mumbai with support of all,0.25,0.15000000000000002,Positive
166,Road coming to BHAIJIVANJI LANE via S K PATIL UDYAN frm MAHARSHI KARWE ROAD is NOENTRY but board is missing as there is no way out for four wheelers on JSS ROAD so pls look into it as many olaubertaxiprivate drivers cme in and get blocked in Lane  ,0.275,0.15,Positive
167, Have been through this several times even my friends and colleagues have This is a standard reply Considering it has been happening over d years i dont think you bother taking action else there would have a been better experience   ,0.15,0.15,Positive
168,Some remind him that olahuuber is as yet not that powerful to blow up an entire state,0.8125,0.15,Positive
169, I dont know is it good enough for you to  waste my  for all these nuisances I have to suffer all these morning Although making a booking few many hrs before  Are you not really concerned for Cx Time  Please sort out thse typos really quick scnarios,0.3428571428571429,0.1476190476190476,Positive
170, booking  Step   You actually book a cab Step   Wait for drivers call Step   No call so you call Step   Driver asks whereabouts of the drop while it shows right there on his app Step   Driver asks Ola money or cash Step   Driver cancels the cab ,0.31785714285714284,0.14285714285714285,Positive
171,Would really want to know what is the exact action  ended up taking against such unprofessional behaviour,0.2625,0.1375,Positive
172,Congratulations to our so called comedians on getting a new topic to troll the govt since they have run out of jokes on Ola Uber and Bangalore Traffic  ,0.45454545454545453,0.13636363636363635,Positive
173,Ola hu uber got one brand new Cab to their fleet 🥂🚖🎂,0.45454545454545453,0.13636363636363635,Positive
174, Your customer service is good and he really helped me out in these situation and make me cool But it was really bad situation Have some Drivers Ready for go as You have for short trips As  outstatons are really for plannd trips  Am i r ,0.44523809523809527,0.13571428571428573,Positive
175, Where are you guys on this No calls no response that shows your unprofessionalism and the irresponsible behaviour your employees and the employer too Such a shame you bring Good that at least   still value the customer voice,0.5,0.13333333333333333,Positive
176,  Very irresponsible behavior from ola They have unnecessarily block my account  Kindly connect with me asap as Im facing booking issues  Contact  ,0.7000000000000001,0.13333333333333333,Positive
177,  Immediate action required Driver misbehaved with my mother Talked harsh language If your support team can call me I can explain more in detail CRN,0.4333333333333333,0.13333333333333333,Positive
178,The driver says cannot accept Ola money only cash and asks me to cancel the ride and when I refuse he says he wud cancel it  himself Later Ola sends me a msg of cancellation fee of Rs  Where is the regulator to stop this day light robbery ,0.5666666666666667,0.13333333333333333,Positive
179,              please take action otherwise going to high court,0.31999999999999995,0.13,Positive
180,  But   allows you to pool cars with like minded people going towards your destination   Make friends can talk referral for job switch and lot more   Cost effective in fact half of ola   Environmental benefit due to less pollution  OlaUber    httpstcoPBhNoXgjr,0.3816666666666667,0.12833333333333335,Positive
181, Public Transport can never provide Last Minute Connectivity unless you have underground Metro criss crossing cities like Paris London Tokyo New York   Focus on increasing coverage  Safe Taxi  Uber  Ola  Private ownership,0.2925757575757576,0.12727272727272726,Positive
182,Very surprised to get a call from  to help me out to raise a complaint after reporting an incident Highly appreciated and would be satisfied if strict action is taken against errant OLA auto driver,0.48,0.126,Positive
183, How many times I have to face same kind of fucking experience with you and your drivers When Drivers dont believe in Ola Money or Ola Postpaid then why the hell you provide this to your customers After denying the pickup he is not cancelling the ride  httpstcomfeuQrKMB,0.58125,0.12500000000000003,Positive
184,  This is true in other cities   and    In   most drivers r rowdy amp hooligans amp mostly behave rudely While driving they mostly chat with someone cancels ride abruptly  service sucks in  too  ,0.553125,0.125,Positive
185,   Dear  I reported the matter on August   and still couldnt hear any concrete information on action tkn against drivers Awaiting from  months  ,0.2,0.125,Positive
186,Surge Pricing by OlaUber  It’s controversial  Consumers hate it drivers love it Operators profit from it   Regulators aren’t sure how to regulate it Media reports indicate they may cap surge at X of the bass price   What’s your view on this What should be the cap,0.7677777777777778,0.12,Positive
187, If the same number isn’t going from customer ‘s side  then you should coordinate and sort of cutomer’s long standing genuine grievances     ,0.3416666666666666,0.11666666666666668,Positive
188, So frustrated with your friends  Peaceful Bache nahi sunrahe hai   bar Ola Uber ki tara Peaceful Peaceful Peaceful bol rahi ho   Are super star puri duniya ko pata hai tumare friends ke peaceful behaviour ke bare me   ,0.43333333333333335,0.11666666666666667,Positive
189,                    Sir its true but what about this cab aggregators uber n ola they r looting both costomer n driver partner openly no responce FRM any body  Is law equal for all,0.4666666666666666,0.11666666666666665,Positive
190,  CRN  is pure cheating by an ola driver and ola supervisor team Until I get RS back I am going to keep fighting   ,0.25,0.10714285714285714,Positive
191,  CRN  is pure cheating by an ola driver and ola supervisor team Until I get RS back I am going to keep fighting  ,0.25,0.10714285714285714,Positive
192,In the land where ML may not mean   the  may not be white and  does not mean  and     Sohra  httpstcouEEOnnW,0.4583333333333333,0.10416666666666667,Positive
193, Check your inbox And clear my doubts,0.3833333333333333,0.10000000000000002,Positive
194, It was called business strategy when big bazaar gave huge discount and made local Kirana shops to suffer huge losses Now they cant fight amazon so started crying Same is the case when OLA was started,0.4375,0.10000000000000002,Positive
